Aaron, Hank
Birrell, Augustine
Black Elk
Blair, Robert
Blair, Tony
Blake, William
Blakey, Art
Blalock, Jolene
Blanc, Mel
Blanc, Raymond
Blanchett, Cate
Blix, Hans
Blood, Rebecca
Boethius, Ancius
Bogart, Neil
Bohm, David
Bohr, Niels
Boileau-Despreaux, Nicholas
Bojaxhi, Agnes Gonxha
Bokini, Ratu Ovini
Bolano, Roberto
Bolivar, Simon
Bombeck, Erma
Bonaparte, Napoleon
Bonhoeffer, Dietrich
Bonner, Elena
Boone, Louis E.
Boorstin, Daniel J.
Booth, William
Boretz, Benjamin
Borges, Jorge Luis
Borlaug, Norman
Bose, Subhash Chandra
Bossidy, John Collins
Boswell, James
Botha, Pik
Boutroux, Pierre
Bowen, Elizabeth
Bowerman, Bill
Bowie, David
Bowles, Chester
Bowles, Paul
Bowles, Ralston
Box, George E. P.
Bracken, Peg
Bracken, Thomas
Brackett, Joseph
Bradbury, Ray
Bradley, Omar
Braine, John
Brand, Max
Branden, Nathaniel
Brando, Marlon
Braque, Georges
Braun, Carol Moseley
Braun, Wernher von
Brautigam, Deborah
Brautigan, Richard
Brazauskas, Algirdas
Brecht, Bertolt
Brennus
Briggs, Joe Bob
Brilliant, Ashleigh
Brodsky, Joseph
Bronte, Emily
Brooks, Gwendolyn
Brooks, Mel
Brothers, Dr. Joyce
Broun, Heywood
Brown, Alton
Brown, Earle
Brown, Elizabeth
Brown, Julie
Brown, Sam
Browne, Harry
Browne, Sir Thomas
Browning, Elizabeth Barrett
Browning, Robert
Broyard, Anatole
Bruce, Lenny
Bruno, Giordano
Brutus, Marcus Junius
Bryan, William Jennings
Bryant, William Cullen
Bryson, Bill
Buber, Martin
Buchan, John
Buck, Pearl
Buckles, Frank
Buddha, Gautama
Buffett, Warren
Bujold, Lois McMaster
Bullock, Sandra
Bune, Poseci
Bunuel, Luis
Buonarroti, Michelangelo
Burke, Edmund
Burnett, Carol
Burnham, Daniel
Burnham, Frederick Russell
Burns, Edward
Burns, Robert
Burroughs, John
Burroughs, William S.
Burton, Sir Richard Francis
Buscaglia, Leo
Bush, George H. W.
Bush, George W.
Bush, John Carder
Bush, Kate
Bush, Vannevar
Butler, Amir
Butler, Samuel
Butler, Smedley
Butler Sloss, Dame Elizabeth
Buzan, Tony
Byrd, Richard E.
Byrd, Robert
Byrne, David
Byrne, Robert
Byron, Lord
Cabell, James Branch
Caesar, Irving
Caesar, Julius
Cage, John
Cain, Peter
Callaghan, James
Calvin, John
Cameron, Julia
Cameron, Kirk
Campbell, Beatrice Stella
Camus, Albert
Cannon, James P.
Canseco, Jose
Cantona, Eric
Cao,Cao
Capote, Truman
Capone, Al
Card, Orson Scott
Carducci, Giosue
Carey, Mariah
Carey, Sandra
Carlin, George
Carlson, Tucker
Carlyle, Thomas
Carnegie, Andrew
Carolla, Adam
Carrel, Alexis
Carrey, Jim
Carroll, Lewis
Carroll, Tom
Carson, Rachel
Carter, Elliott
Carter, Howard
Carter, Jimmy
Carville, James
Casals, Pablo
Casanova, Giacomo
Cash, Johnny
Castaneda, Carlos
Castro, Fidel
Cather, Willa
Cato the Elder
Catt, Michael
Catullus, Gaius Valerius
Caucau, Adi Asenaca
Cavell, Edith
Cavett, Dick
Cecil, Robert
Cervantes, Miguel de
Chambers, Oswald
Chamfort
Chanakya
Chandler, Raymond
Lon Chaney, Sr.
Channing, William Ellery
Chapin, Harry
Chaplin, Charlie
Chapman, Colin
Chappelle, Dave
Charles II, King of England
Charles V, Holy Roman Emperor
Charles, Ray
Chateaubriand, Francois-Rene de
Chatwin, Bruce
Chaucer, Geoffrey
Chaudhry, Mahendra
Chavez, Cesar
Cheever, John
Cherryh, C. J.
Chesterton, Gilbert Keith
Chevalier, Maurice
Chiariglione, Leonardo
Chicago, Judy
Child, Julia
Cho, Margaret
Choate, Rufus
Christie, Agatha
Chrysostom, John
Chuang Chou
Churchill, Sarah
Churchill, Winston
Ciccone, Madonna
Cicero
Cioran, Emile
Clancy, Tom
Clapton, Eric
Clark, Frank A.
Clark, Ramsey
Clark, Wesley
Clarke, Arthur C.
Clausewitz, Karl von
Clay, Andrew Dice
Clay, Henry
Clemenceau, Georges
Clinton, Bill
Clinton, Hillary
Clough, Brian
Cobain, Kurt Donald
Cochran, Johnnie
Cocteau, Jean
Codrescu, Andrei
Cohen, Catman
Cohen, Leonard
Cohen, Nick
Cohen, Richard
Cole, Nat "King"
Coleridge, Samuel Taylor
Collett, Camilla
Colette
Collier, Jeremy
Collins, Tim
Collison, Chris
Colson, Charles
Colten, James
Colton, Charles Caleb
Coltrane, John
Columbus, Christopher
Commager, Henry Steele
Confucius
Congreve, William
Conlon, Fred
Connolly, Cyril
Conrad, Joseph
Conway, Anne
Conway Morris, Simon
Cook, Peter
Cooley, Mason
Coolidge, Calvin
Cooper, Alice
Cooper, Diana
Copeland, Stewart
Copernicus, Nicolaus
Copland, Aaron
Corea, Chick
Corea, Vernon
Corey, Peter
Corgan, Billy
Cornstalk
Cortazar, Julio
Cosby, Bill
Coulter, Ann
Coupland, Douglas
Courtney, Leonard H.
Courtney, Margaret
Covington, Stephen
Coward, Noel
Cowley, Abraham
Cowper, William
Crace, Jim
Craik, Dinah
Crane, Dr. Frank
Crane, Stephen
Cray, Seymour
Crick, Francis
Crimmins, Barry
Cringely, Robert X.
Crisp, Quentin
Crockett, Davy
Cromwell, Oliver
Cross, David
Crowfoot
Crowley, Aleister
Crumb, Robert
Cummings, E. E.
Cunningham, Allan
Cunningham, Ward
Curie, Marie
Dalai Lama
Daley, Richard J.
Dali, Salvador
Daly, Carson
Daly, Daniel
Damon, Johnny
Dangerfield, Rodney
Daniel, Samuel
Daniels, Anthony
Darrow, Clarence
Darwin, Charles
Dauten, Dale
Davis, Bette
Davis, Miles
Davisson, Richard
Dawkins, Richard
Day, Carl
Dayan, Moshe
Dean, Howard
Dean, James
Dean, John
de Bono, Edward
Debs, Eugene V.
Dee, Jack
Degas, Edgar
DeGeneres, Ellen
Delacroix, Eugene
de la Rocha, Zack
Delay, Tom
Delson, Brad
de Mello, Anthony
de Molay, Jacques
Demosthenes
Deng Xiaoping
Denham, John
Depew, Chauncey
de Raadt, Theo
Derrida, Jacques
Descartes, Rene
DeShannon, Jackie
Desmond, Paul
Deutsch, David
Devine, Carl
Devo, musical group
DeWolfe, Ron
Dhavernas, Caroline
Diana, Princess of Wales
DiCaprio, Leonardo
Dick, Philip Kindred
Dickens, Charles
Dickinson, Emily
Dickson, Leonard Eugene
Diderot, Denis
Didion, Joan
Dillard, Annie
Dirac, Paul
Dirksen, Everett
Disney, Roy O.
Disney, Walt
Disraeli, Benjamin
Dijkstra, Edsger
Djilas, Milovan
Dobson, James
Dogg, Snoop
Doherty, Peter
Dolphy, Eric
Domeyko, Ignacy
Dominus, Mark-Jason
Donaldson, Stephen R.
Donne, John
Dornfest, Rael
Dostoevsky, Fyodor
Douglas, Donald
Douglas, Kirk
Douglas, Tommy
Douglass, David
Douglass, Frederick
Doyle, Arthur Conan
Drake, Nick
Dreiser, Theodore
Drucker, Peter F.
Duff, Hilary
Dumas, Alexandre
Dunst, Kirsten
Durante, Jimmy
Durbin, Richard
Durrell, Gerald
Dutton, Denis
Dyer, Wayne
Dyke, Henry van
Dylan, Bob
Dyson, Freeman
Early, Jubal Anderson
Eastwood, Clint
Ebadi, Shirin
Eban, Abba
Ebert, Roger
Ecclestone, Bernie
Echols, Damien
Eckhart, Meister
Eddington, Arthur Stanley
Edison, Thomas Alva
Edward VII, King of England
Edwards, Edwin W.
Edwards, John
Eggers, Dave
Ehrlich, Paul R.
Einstein, Albert
Eisenhower, Dwight D.
Eisenstein, Ferdinand
Elagabalus
Hossein Elahi Ghomshei
ElBaradei, Mohamed
Eldredge, Niles
Eliot, George
Eliot, Thomas Stearns
Elizabeth I of England
Elizabeth II of England
Elizabeth, the Queen Mother
Ellington, Duke
Elliot, Cass
Elliot, Jim
Ellison, Harlan
Eluard, Paul
Emerson, Ralph Waldo
Eminem
Engelke, Anke
Epictetus
Epicurus
Erasmus
Erdos, Paul
Erikson, Steven
Escher, M. C.
Esposito, Phil
Estefan, Gloria
Euripides
Evans
Everett, Carl
Ezrin, Bob
Fakes, Dennis
Farage, Nigel
Farjeon, Eleanor
Farmer, Frances
Noli, Fan
Fatiaki, Daniel
Faulkner, William
Favre, Brett
Fawkes, Guy
Federer, Roger
Feibig, Jim
Feingold, Russ
Feldman, Morton
Fellini, Federico
Ferguson, Adam
Ferguson, Miriam
Fermi, Enrico
Ferrell, Will
Ferron, Marcelle
Fetis, Joseph
Fey, Tina
Feynman, Richard
Fielding, Henry
Fields, W. C.
Finney, Albert
Firestone, Shulamith
Fischer, Bobby
Fischer, Joschka
Fish, Michael
Fishback, Margaret
Fisher, Carrie
Fiske, Irving
Fiszer, Franciszek
Fitzgerald, F. Scott
Fitzgerald, Patrick
Flaubert, Gustave
Flynt, Larry
Foch, Ferdinand
Foley, Mick
Fonteyn, Margot
Forbes, Malcolm
Ford, Gerald
Ford, Harrison
Ford, Henry
Forster, E. M.
Forsyth, Bruce
Fort, Charles
Fosdick, Harry Emerson
Foster, Sir Robert Sidney
Fowler, Gene
Fox, George
Fox, Virgil
Foxworthy, Jeff
France, Anatole
Francis of Assisi
Francona, Terry
Franck, Richard
Frank, Anne
Franklin, Benjamin
Franks, Tommy
Franti, Michael
Franzen, Jonathan
Frederick II of Prussia
Freud, Sigmund
Freund, Peter
Friedman, Kinky
Friedman, Milton
Friedman, Nat
Friel, Todd
Frist, Bill
Fromm, Erich
Frost, Robert
Frostrup, Mariella
Fulbright, J. William
Fulghum, Robert
Fuller, Buckminster
Fuller, Margaret
Gabor, Zsa Zsa
Gabriel, Peter
Gagarin, Yuri
Gaiman, Neil
Galbraith, John Kenneth
Galilei, Galileo
Gallagher (Leo Anthony Gallagher)
Gallagher, Fred
Gallo, Vincent Actor
Galloway, George
Gallup, George
Galtieri, Leopoldo
Gandhi, Indira
Gandhi, Mahatma
Gangchuan, Cao
Ganilau, Adi Ateca
Ganilau, Ratu Epeli
Ganilau, Ratu Sir Penaia
Gardel, Carlos
Garfield, James A.
Garland, Judy
Garner, Helen
Garrison, William Lloyd
Gary, Romain
Gassee, Jean-Louis
Gates, Bill
Gaudi, Antonio
Gauguin, Paul
Gaulle, Charles de
Gaultier, Jules de
Gauss, Carl Friedrich
Gay, John
Gaye, Marvin
Geagea, Samir
Gemayel, Solange
Genet, Jean
George III, King of England
George V, King of England
Gephardt, Dick
Gerety, Frances
Gergen, David
Geronimo
Giacometti, Alberto
Gibbon, Edward
Gibran, Khalil
Gibson, William Ford
Gide, Andre
Gilbert, W. S.
Gilder, George
Gill, Eric
Gilmore, John
Ginott, Haim
Giraudoux, Jean
Giuliani, Rudy
Gladstone, William Ewart
Godard, Jean-Luc
Godwin, Earl of Wessex
Godwin, Mike
Goering, Hermann
Goethe, Johann Wolfgang von
Gogh, Vincent Willem Van
Gogol, Nikolai Vasilievich
Goldberg, Jonah
Golding, William
Goldman, Emma
Goldsmith, Oliver
Goldsworthy, Andy
Goldwater, Barry
Goldwyn, Samuel
Goodman, Ellen
Gorky, Maxim
Goring, Hermann
Gothard, Bill
Gould, Stephen Jay
Goya, Francisco
Gracian, Baltasar
Graham, Lindsey
Graham, Paul
Gramsci, Antonio
Grant, Ulysses S.
Grass, Gunter
Gray, Thomas
Greeley, Horace
Green, Matthew
Greene, Graham
Greer, Germaine
Grellet, Stephen
Grey, Zane
Griswold, Alfred Whitney
Griswold, Erwin
Groban, Josh
Groening, Matt
Grove, Andy
Grudin, Robert
Guber, Peter
Guderian, Heinz
Guevara, Ernesto 'Che'
Guitry, Sacha
Gundmundsdottir, Bjork
Gurdjieff, G. I.
Gwanghae-gun of Joseon
Gygax, Gary
Gyllenhaal, Jake
Haba, Alois
Hague, Frank
Haig, Alexander
Hain, Peter
Halas, George
Haldeman, Joe
Haley, Alex
Hall, Evelyn Beatrice
Halliburton, Richard
Halme, Tony
Halsey, William "Bull"
Hamilton, Alexander
Hamilton, Gail
Hamilton, Laurell K.
Hammarskjold, Dag
Han Shan
Handy, Charles
Handy, W. C.
Hannity, Sean
Harold II Godwinson, King of England
Harper, Stephen
Harris, Sam
Harris, William Torrey
Harrison, George
Hart, Lorenz
Hart, Owen
Harvey, Paul
Ha?ek, Jaroslav
Hathaway, Anne
Hathaway, Sybil
Hatshepsut
Hattersley, Roy
Havel, Vaclav
Havok, Davey
Hawking, Stephen
Hawthorne, Nathaniel
Hayden, Teresa Nielson
Hayek, Friedrich
Hayes, Helen
Hazlitt, William
Hedberg, Mitch
Hedges, Chris
Hegel, Georg Friedrich Wilhelm
Heifetz, Jascha
Heilbrun, Carolyn
Hein, Piet
Heindel, Max
Heinlein, Robert A.
Heine, Heinrich
Heisenberg, Werner
Held, John
Heller, Joseph
Hellman, Lillian
Hemingway, Ernest
Henderson, Rickey
Hendrie, Phil
Hendrix, Jimi
Hennessey, Ammon
Henry VIII
Henry, Matthew
Henry, O.
Henry, Patrick
Hepburn, Audrey
Hepburn, Katherine
Heraclitus
Herbert, George
Herbert, Zbigniew
Hernandez, Julian
Herodotus
Herschel, John
Herzler, Roger D
Herzog, Werner
Heschel, Abraham Joshua
Hesiod
Hess, Karl
Hesse, Hermann
Hewitt, Hugh
Heywood, John
Hibiki, Dan
Hickenbottom, Michael
Hicks, Bill
Hicks, Dan
Hightower, Jim
Hikmet, Nazim
Hill, Joe
Hill, Napoleon
Hillary, Edmund
Hillel the Elder
Hirsch, Mary
Hitchens, Christopher
Hitchcock, Alfred
Hitler, Adolf
Hobbes, Thomas
Hoff, Benjamin
Hoffer, Eric
Hoffman, Abbie
Hoffman, Jessica
Hofstadter, Douglas
Hofstadter, Richard
Holderlin, Friedrich
Holmes, Oliver Wendell, Jr.
Holmes, Oliver Wendell, Sr.
Holt, Anatol
Holt, John
Homer
Honda, Soichiro
Hoover, Herbert
Hope, Bob
Hopkins, Gerard Manley
Hopper, Edward
Hopper, Grace
Horace
Horning, Jim
Houdini, Harry
House, Jinnah
Housman, A. E.
Howe, Julia Ward
Howell, James
Hoyle, Fred
Hubbard, Elbert
Hubbard, Kin
Hubbard, L. Ron
Huckabee, Mike
Huelskamp, Tim
Huffington, Arianna
Hughes, Charles Evans
Hugo, Victor
Hull, Bobby
Hull, Cordell
Humboldt, Alexander von
Humboldt, Wilhelm von
Hume, David
Hundertwasser, Friedensreich
Hung, William
Hunt, J. McV.
Hurston, Zora Neale
Hussein, Saddam
Hutcheson, Francis
Hutchinson, Thomas
Hutton, James
Huxley, Aldous
Huxley, Julian
Huxley, Thomas Henry
Huygens, Christian
Hyles, Jack
Hyson, Matt
Iacocca, Lee
Ibsen, Henrik
Icke, David
Idle, Eric
Iloilo, Ratu Josefa
Inge, William Ralph
Ingelow, Jean
Ingersoll, Robert G.
Ionesco, Eugene
Ip, Regina
Irvine, Eddie
Ishihara, Shintaro
Itoi, Shigesato
Izzard, Eddie
Jaatteenmaki, Anneli
Jackson, Andrew
Jackson, Janet
Jackson, Jesse
Jackson, Michael
Jackson, Robert H.
Jaffe, Bob
James I of England
James, Alice
James, C. L. R.
James, Donald
James, Henry
James, Kevin
James, William
Jarrell, Randall
Jarrett, Jeff
Jay, Glenn, Miner
Jarry, Alfred
Jeffers, Robinson
Jefferson, Thomas
Jelinek, Fred
Jenner, Henry
Jennings, Peter
Jensen, Derrick
Jensen, Hayley
Jerky Boys
Jesus Christ
Jeter, Derek
Jillette, Penn
Joan of Arc
Jobs, Steve
John of the Cross
John Paul II (Pope)
Johns, Michael
Johnson, Boris
Johnson, Lyndon
Johnson, Philip
Johnson, Samuel
Johnson, Susan (Australian)
Johnson, Zach
Jolie, Angelina
Jones, John Paul
Jones, Norah
Jones, Orlando
Jong, Erica
Jonson, Ben
Joplin, Janis
Jordan, Sandra
Joseph, Chief
Joshi, Kedar
Joubert, Joseph
Joyce, James
Juarez, Benito
Judd, Ashley
Jueneman, Frederic
Julian (Emperor)
Julian of Norwich
Jung, Carl
Junge, Traudl
Juvenal
Juyi, Bai
Kabir
Kaczynski, Lech
Kael, Pauline
Kafka, Franz
Kahlo, Frida
Kak, Subhash
Kalam, APJ Abdul
Kalidas
Kant, Immanuel
Kapell, William
Karenga, Ron
Karzai, Hamid
Kasparov, Garry
Katz, Jonathan
Kawabata, Yasunari
Kawohl, Kurt
Kay, Alan
Kay, Ken
Kazantzakis, Nikos
Keats, John
Keating, Paul
Keaton, Buster
Keel, John
Keeping, Charles
Keillor, Garrison
Keller, Helen
Kellner, Friedrich
Kelly, Walt
Kempton, Murray
Kelvin, Lord
Kendrick, Alex
Kennan, George F.
Kennedy, Anthony
Kennedy, Edward
Kennedy, John F.
Kennedy Lisa
Kennedy, Robert
Kennedy, Robert F.
Kennedy, Robert Francis Jr.
Kepa, Ro Teimumu
Kerouac, Jack
Kerry, John
Kerry, Teresa Heinz
Kesey, Ken
Keyes, Alan
Keynes, John Maynard
Khan, Hafiz
Khan, Nusrat Fateh Ali
Khan, Shahrukh
Khan,Genghis
Khayyam, Omar
Khomeini, Ruhollah
Khrushchev, Nikita
Kierkegaard, Søren Aabye
Kilmer, Joyce
Kilmister, Lemmy
Kilroy-Silk, Robert
King, Carole
King, Coretta Scott
King, Martin Luther
King, Stephen
King, William
Kingsley, Charles
Kingsolver, Barbara
Kinsey, Alfred
Kinski, Klaus
Kipling, Rudyard
Kissinger, Henry
Khalilzad, Zalmay
Kline, Kevin
Klopstock, Friedrich Gottlieb
Knapman, Roger
Knebel, Fletcher
Knightley, Keira
Knuth, Donald
Koestler, Arthur
Koons, Jeff
Koontz, Dean R.
Koop, C. Everett
Kornheiser, Tony
Kotok, Alan
Kovacs, Ernie
Koya, Sidiq
Kraus, Karl
Krieger, Lou
Krieger, Robbie
Kripke, Saul
Krishnamurti, Jiddu
Krishnamurthy, Kalki (R. Krishnamurthy)
Kronrod, Alexander
Kruk, John
Kruger, Barbara
Kruth, Ernst
Kubler-Ross, Elisabeth
Kudlow, Lawrence
Kundera, Milan
Kulongoski, Ted
Kuriyama, Chiaki
Kurosawa, Akira
Kurti, Nicholas
Kurtz, Katherine
Kurtz, Scott R.
Kusturica, Emir
La Bruyere, Jean de
LaHaye, Tim
Laitman, Michael
Lalabalavu, Ratu Naiqama
Lamb, Charles
Landers, Ann
Landor, Walter Savage
Lane, Nathan
Lang, Will Jr.
Lanne, Jack La
Lao Tzu
Laplace, Pierre-Simon
Lardner, Ring
La Rochefoucauld, Francois de
Lasorda, Tommy
Lastman, Mel
Lau, Charley
Laurel, Stan
Laurer, Joanie
Laurinkus, Me?ys
Lavigne, Avril
Lawler, Jerry
Lawrence, Thomas Edward
Leacock, Stephen
Lear, Edward
Leary, Timothy
LeBlanc, Romeo
Lebowitz, Fran
Lec, Stanislaw Jerzy
Le Corbusier
Lee, Ang
Lee, Bruce
Lee, Stan
Lehman, John
Leiber, Fritz
Lem, Stanislaw
LeMay, Curtis
Lenin, Vladimir
Lennon, John
Leno, Jay
Leo X (Pope)
Leonard, Elmore
Lernoux, Penny
Lessig, Lawrence
Lessing, Doris
Letterman, David
Leung, Graeme
Levertov, Denise
Leverson, Ada
Levi-Strauss, Claude
Lewis, C. S.
Lewis, Jenny
Lewis, Sinclair
Li Bai
Lichtenberg, Georg Christoph
Liddy, G. Gordon
Liebling, A. J.
Limbaugh, Rush
Lincoln, Abraham
Livermore, Jesse Lauriston
Lloyd, Seth
Locke, John
Lohan, Lindsay
London, Jack
Long, Earl
Long, Huey P.
Longfellow, Henry Wadsworth
Loo, Tristan J.
Looney, General William
Lott, Trent
Louis VII, King of France
Louis, Joe
Love, Courtney
Lovecraft, H. P.
Lovelace, Richard
Lovins, Amory
Lowell, Christopher
Lubbock, John
Lucas, George
Ludwig, Arnold M.
Luther, Martin
Luxemburg, Rosa
Lu Xun
Lynch, Peter
Lyons, Steve
Maathai, Wangari
MacArthur, Douglas
Macaulay, Thomas Babington
Macdonald, George
MacGregor, Robert Roy
Machado, Antonio
Machiavelli, Niccolo
Madonna see Ciccone, Madonna
Madraiwiwi, Ratu Joni
Magee, Bryan
Maharaji
Mahavira
Maher, Bill
Malcolm X
Malda, Rob "CmdrTaco"
Mallet, David
Malley, Matt
Malory, Thomas
Malraux, Andre
Malthus, Thomas
Manchester, William
Mandela, Nelson
Mann, Horace
Mann, Thomas
Mannheim, Karl
Mansfield, Katherine
Manson, Charles
Manson, Marilyn
Mao Zedong
Mara, Ratu Sir Kamisese
Marconi, Guglielmo
Marcos, Ferdinand Edralin
Marcus Aurelius
Margera, Brandon "Bam"
Marie Antoinette
Marley, Bob
Marlowe, Christopher
Maroulis, Constantine
Marquis, Don
Marshall, George
Marshall, Joshua Micah
Marshall, Thomas R.
Martell, Yann
Marti, Jose
Martial
Martin, Demetri
Martin, John
Martin, Judith "Miss Manners"
Martin, Paul
Martin, Steve
Marvell, Andrew
Marx, Groucho
Marx, Karl
Mary I of England
Michael Jackson
Maslow, Abraham
Mataca, Petero
Matarazzo, Francesco
Matisse, Henri
Matthews, Dave
Maugham, William Somerset
Maupassant, Guy de
May, Rollo
Mayfield, Curtis
Mayweather, Floyd, Jr.
McAuliffe, Anthony
McCain, John
McCarthy, Eugene
McCarthy, Joseph
McCarthy, Mary
McCartney, Paul
McClary, Susan
McClung, Nellie
McFee, William
McGill, Bryant
McGoohan, Patrick
McGuire, Al
McKay, Charles
McKennitt, Loreena
McLuhan, Marshall
McMahon, Vince
McNair, Steve
McNamara, Robert
McQuaig, Linda
Mead, Margaret
Mecham, Evan
Medved, Michael
Meir, Golda
Melua, Katie
Melville, Herman
Men, Alexander
Mencken, H. L.
Merchant, Natalie
Mercury, Freddie
Mero, Rena
Merrick, Joseph
Michelangelo Buonarroti
Michener, James
Midler, Bette
Mies van der Rohe, Ludwig
Milano, Alyssa
Mill, John Stuart
Miller, Alex
Miller, Arthur
Miller, Bode
Miller, Henry
Miller, Ron
Miller, Walter M. (Jr.)
Milligan, Spike
Mills, C. Wright
Milne, A.A.
Milosz, Ceslaw
Milton, John
Minow, Newton N.
Mises, Ludwig von
Mitchell, John
Mitchell, Joni
Miyamoto, Shigeru
Moawad, Nayla
Moawad, Rene
Moliere
Momoedonu, Tevita
Monheit, Jane
Monroe, Marilyn
Montaigne, Michel de
Montesquieu, Charles de
Moore, Alan
Moore, Dudley
Moore, Michael
Moore, Tim
Morales, Evo
Moran, Dylan
More, Hannah
More, St. Thomas
Morgenstern, Christian
Morley, Christopher
Morris, Errol
Morris, Mixmaster
Morrison, Jim
Morrison, Robert
Morrissey
Mortimer, John
Mother Teresa (Agnes Gonxha Bojaxhi)
Mountbatten, Louis
Mozart, Wolfgang Amadeus
Mugabe, Robert
Muhammad, Holy Prophet
Muir, John
Mullally, Megan
Mulock, Dinah Maria; also Dinah Maria Craik
Mumford, Lewis
Mumpfield, Susie
Munch, Edvard
Munro, Alice
Munshi Premchand
Murrow, Edward R.
Miyamoto Musashi
Mussolini, Benito
Mustaine, Dave
Myatt, David
Nabokov, Vladimir
Nachman, Rabbi, of Bratzlav
Nader, Ralph
Nagel, Thomas
Naidu, Richard
Nailatikau, Adi Koila
Nailatikau, Ratu Epeli Qaraninamu
Najimy, Kathy
Nash, John Forbes
Nash, Thomas
Navakasuasua, Maciu
Negroponte, Nicholas
Nelson, Hailey Anne
Nelson, Horatio
Nero (Emperor)
Neruda, Pablo
Newhart, Bob
Newton, Isaac
Newton, John
Nicks, Stevie
Czar Nicholas II
Nicoll, James
Niebuhr, Reinhold
Niemoller, Martin
Nietzsche, Friedrich
Nightingale, Florence
Nijinsky, Vaslav
Nin, Anais Nin
Ninio, Jacques
Niranjan, Sangeeta
Niven, Larry
Nixon, Richard
Noam, Eli
Norton, Joshua Abraham
Nostradamus
Novalis
Nugent, Ted
Nukem, Duke
Null, Gary
Nunally. Patrick
